,MinTemp,MaxTemp,Rainfall,WindGustSpeed,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RISK_MM,Date,Location,WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow
116534,0.6190770603808483,1.1312589958886976,-0.19314690000641943,-0.1766519834640368,0.7208831641788183,-0.145174078770884,-1.1603747866369554,-1.119239640512442,0.3138028836623811,0.31401038864651276,0.5562904886327025,0.33346334355483404,-0.30375330277842133,2014-04-10,PerthAirport,E,NE,NNE,No,No
62615,-0.24301843434048614,-0.27575588446374477,-0.19314690000641943,0.32407209205550497,-0.35750300244054284,0.08833703325248825,0.5216569973375876,0.16643375300043659,0.34880482668644647,0.3506790593272377,-0.2627209491421235,-0.13764690067141366,-0.30375330277842133,2017-02-25,Sale,E,WSW,SE,No,No
140811,-0.7781121896847626,-0.9242062206261749,-0.19314690000641943,-0.23556069823104173,0.276841801453199,0.08833703325248825,0.09036679631847402,-0.5102364541116048,0.33576488712846153,0.3441678000474829,-0.6137258510456204,-0.40129575294481845,-0.30375330277842133,2013-07-19,Uluru,SSE,S,SSE,No,No
132639,-0.7112254702667281,-0.8875014846169805,-0.19314690000641943,-0.1766519834640368,-0.6746754043874137,0.18174147806183716,-0.0821492840891714,0.06493322193363037,-3.09504944978294,-3.0803495745455027,-0.5552250340617042,-0.375363078950713,-0.30375330277842133,2016-10-14,Launceston,NNW,E,NNW,No,No
9991,0.30693903643002013,0.2503453316680377,-0.1337333465712677,-0.5595586294495688,0.023103879895702263,-0.145174078770884,-0.5996975253121076,0.06493322193363037,0.32238179126631866,0.3277183029196809,0.32959982282002753,0.004982806296165968,-0.30375330277842133,2012-01-01,CoffsHarbour,WSW,SW,ESE,Yes,No
46375,-0.5477246005781992,-0.7529174525832689,-0.19314690000641943,-0.23556069823104173,-0.5478064436086654,0.36855036768053495,-0.03902026398726004,0.2679342840672428,0.3371375123450915,0.3482801743294331,-0.4601612064628404,-0.37968519128306394,-0.30375330277842133,2013-08-24,Canberra,NNW,W,NW,No,No
20522,0.7379867837906874,0.9355004038396619,0.03460505482832892,1.413883315245096,-0.9284133259449104,-0.8457074148410008,1.297979359171992,0.4709353462008552,0.30728291388338863,0.3098980143645626,0.4612266610338387,0.25566532157251787,0.036192037874515026,2017-03-22,NorahHead,S,E,W,Yes,Yes
82730,-0.04979013379949744,-0.5571588605342334,-0.00500398079510557,-0.5595586294495688,-0.6746754043874137,-0.4253874131989307,0.9960762184586125,0.8431039601124779,0.3210091660496887,0.32120704363992614,-0.255408347019134,-0.30188716930074777,-0.27947149273178296,2011-06-12,Brisbane,SW,SW,WSW,Yes,No
7923,-0.3990874463159001,0.030116915612873135,-0.19314690000641943,1.80803617041342,-0.6746754043874137,-0.051769633961535104,-1.591664987656069,-1.119239640512442,0.33370594930351644,-2.789181013643163,0.08097135063838379,-0.04688254169204492,-0.30375330277842133,2014-09-11,Cobar,ENE,SSE,WSW,No,No
10255,-0.0646538492257273,-0.10446711642083892,-0.19314690000641943,-0.5006499146825638,0.023103879895702263,-0.2385785235802329,-0.7722136057197531,0.6062693876232634,0.32032285344137396,0.3174373672148048,0.19066038248322656,-0.17222379933022086,-0.30375330277842133,2012-09-22,CoffsHarbour,SSE,SSE,SE,No,No
75172,-0.09438128007818712,-0.9364411326292397,-0.16344012328884355,-0.29446941299804663,0.14997284067445063,-0.005067411556860654,-0.6428265454140191,0.2341007737116407,0.3470890451656589,0.35719031860699246,-0.34315957249500817,-0.4358726516036256,-0.30375330277842133,2015-11-21,Portland,SW,SSW,WSW,No,No
27864,-0.15383614178310678,1.3759572359499919,-0.19314690000641943,0.14734594775449025,-0.9284133259449104,0.46195481248988385,-0.6428265454140191,-1.4237412337128605,0.2914977238921435,0.2975608915187112,0.27109900583611135,0.4415161518636066,-0.30375330277842133,2012-10-20,Richmond,WSW,E,W,No,No
121519,-0.570020173717544,0.9355004038396619,-0.19314690000641943,-0.11774326869703189,0.023103879895702263,-0.145174078770884,-1.3328908670446007,-1.2207401715792483,-3.1005399506494595,-3.08583274025477,0.28572421008209037,0.2772758832342724,-0.30375330277842133,2010-10-26,SalmonGums,SE,ENE,SE,No,No
90961,0.6116452026677333,0.6785672517753027,-0.1832446411005608,-0.5006499146825638,-0.5478064436086654,-0.005067411556860654,-0.1684073242929941,0.20026726335603864,0.31689129039979896,0.3177800650716341,0.6367291119855872,0.1735451872578509,-0.30375330277842133,2009-04-18,Townsville,ENE,SSE,ENE,No,No
135877,-0.8598626245290272,0.2870500676772319,-0.19314690000641943,-0.5595586294495688,-0.9284133259449104,-0.5187918580082796,-1.9366971484713598,-1.592908785490871,0.3405690753866665,0.33285877077211895,-0.41628559372490337,0.03955970495497302,-0.30375330277842133,2017-05-11,AliceSprings,E,E,SSE,No,No
81659,-0.30990515375852073,-0.30022570846987456,-0.19314690000641943,0.2651633772885001,0.276841801453199,0.46195481248988385,-0.12527830419108274,-0.17190135055558411,0.3213523223538463,0.3174373672148048,-0.2627209491421235,-0.15061323766846638,-0.03665339226539986,2017-05-22,Dartmoor,N,NNE,N,No,Yes
